BBLCOUNT        1.0         0
0x80483c0 1 3 9
0x80483c9 1 5 17
0x80483e4 1 1 5
0x80483da 0 1 5
0x80483e9 1 3 5
0x80483df 1 1 5
0x8048450 161 1 6
0x8048456 1 2 10
0x8048476 1 2 10
0x8048470 1800 1 6
0x8048426 1 2 10
0x8048436 1 2 10
0x8048420 10005 1 6
0x8048440 1 1 6
0x8048460 10040 1 6
0x8048466 1 2 10
0x8048446 1 2 10
0x80483f0 7 2 12
0x8048430 10007 1 6
0x8048400 1 1 6
0x8048406 1 2 10
0x80484a8 1 1 5
0x80484ad 1 1 5
0x80484b2 1 3 4
0x8048480 1 9 40
0x80484b8 1 13 33
0x80484e0 1 6 16
0x80484f0 1 7 26
0x804850a 0 4 21
0x8048528 1 5 13
0x8048558 0 2 9
0x8048561 1 2 2
0x804854f 0 3 9
0x8048540 1 6 15
0x8048582 6729 2 4
0x80485b7 37056479 2 8
0x8048570 10004 7 18
0x8048586 6729 4 9
0x80485b7 30267166 2 8
0x80485bf 16599565 14 42
0x80485e9 1712 4 4
0x8048590 37060145 13 39
0x80485bf 13663935 14 42
0x80485e9 5017 4 4
0x80485f0 3275 2 4
0x80485f4 3275 18 51
0x8048627 0 4 4
0x8048600 32763100 13 39
0x8048627 3275 4 4
0x8048671 2 3 3
0x8048630 2 5 12
0x804863c 2 16 53
0x8048671 0 3 3
0x8048650 20008 12 33
0x80486bd 0 4 4
0x8048694 30014 15 41
0x8048698 300260056 13 37
0x80486bd 30014 4 4
0x8048680 30014 8 20
0x80487f0 10007 9 36
0x8048814 10007 5 11
0x804884b 97975293 5 13
0x804886d 20011 3 3
0x8048840 97995304 4 11
0x8048820 20011 7 19
0x8048833 20011 3 8
0x804884b 102234762 5 13
0x8048858 57760311 7 21
0x804886d 0 3 3
0x8048858 44454440 7 21
0x8048870 10005 3 15
0x804887f 10005 2 4
0x804892e 10004 4 28
0x804894a 10004 3 20
0x804891a 10004 3 20
0x804895e 10004 3 20
0x8048972 10004 1 5
0x8048a15 1 1 5
0x80488b5 1 3 20
